Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,10,-1.4459,23,-0.0848,38,0.73148,34,0.76765,18,-0.5299
ENSG00000188976,NOC2L,18,-1.4152,48,0.20438,61,0.58137,57,0.65237,31,-0.5526
ENSG00000188290,HES4,12,-2.5043,78,0.59124,25,-1.2708,71,0.50389,74,0.50731
ENSG00000187608,ISG15,26,-0.6440,46,0.35341,16,-1.3097,48,0.47278,39,0.03718
ENSG00000188157,AGRN,12,-1.3364,45,1.03852,21,-0.3165,28,0.15447,22,-0.3313
ENSG00000078808,SDF4,50,-0.5225,92,0.57667,71,0.07530,71,0.11430,53,-0.4087
ENSG00000176022,B3GALT6,8,-1.8521,35,0.63456,28,0.17143,29,0.34683,24,-0.0764
ENSG00000160087,UBE2J2,25,-0.6176,29,-0.3621,52,0.61344,41,0.32607,36,0.02044
ENSG00000131584,ACAP3,95,0.12793,97,0.16124,116,0.43327,81,-0.1908,72,-0.3549
ENSG00000127054,INTS11,42,-0.3118,68,0.58309,44,-0.1970,50,-0.0152,43,-0.2495
ENSG00000224051,CPTP,7,-1.7723,26,0.40436,16,-0.4136,26,0.50349,24,0.24256
ENSG00000107404,DVL1,35,-0.7955,63,0.19767,56,-0.0162,58,0.03118,70,0.39745
ENSG00000175756,AURKAIP1,81,-1.5673,232,0.17904,144,-0.5915,263,0.48834,271,0.47188
ENSG00000221978,CCNL2,69,0.11192,64,-0.0326,69,0.10959,70,0.16672,51,-0.4027
ENSG00000242485,MRPL20,86,-1.2953,175,-0.1139,97,-1.0191,271,0.84798,217,0.27656
ENSG00000235098,ANKRD65,42,0.68707,30,0.07262,15,-0.9959,21,-0.6046,34,0.27457
ENSG00000179403,VWA1,145,2.19435,68,0.42093,14,-2.0397,18,-1.9123,23,-1.3901
ENSG00000197785,ATAD3A,10,-0.5555,4,-1.9068,21,0.62232,21,0.82451,15,0.12808
ENSG00000205090,TMEM240,6,-2.1055,23,-0.0938,40,0.82161,27,0.27412,30,0.41358
ENSG00000160075,SSU72,61,-1.4657,159,0.12398,144,-0.0537,163,0.19689,206,0.61432
ENSG00000228594,FNDC10,1,-4.9114,30,0.07154,49,0.86295,43,0.88412,25,-0.2475
ENSG00000272106,AL691432.2,15,-0.3642,29,0.84789,17,-0.1021,14,-0.4890,18,-0.0062
ENSG00000197530,MIB2,19,-1.0427,46,0.46430,41,0.21911,43,0.38788,29,-0.3761
ENSG00000248333,CDK11B,117,1.73153,34,-0.7207,75,0.61708,19,-1.7598,40,-0.4276
ENSG00000189339,SLC35E2B,15,0.25811,2,-2.9426,19,0.61332,14,0.11301,18,0.61126
ENSG00000008128,CDK11A,103,2.49872,22,-0.7691,34,-0.0276,10,-2.0995,17,-1.2136
ENSG00000215790,SLC35E2A,11,-1.4111,27,0.02417,15,-0.8884,34,0.51029,37,0.60659
ENSG00000008130,NADK,19,-0.4146,23,-0.0913,23,-0.0991,28,0.24306,27,0.18663
ENSG00000078369,GNB1,153,-1.7964,454,-0.0175,449,-0.0335,543,0.36257,645,0.64889
ENSG00000187730,GABRD,8,-3.9839,94,-0.3553,198,0.90711,149,0.57900,148,0.47759
ENSG00000067606,PRKCZ,75,-1.5619,155,-0.3893,356,1.01654,245,0.51258,192,-0.0116
ENSG00000162585,FAAP20,40,-0.2565,61,0.49707,38,-0.3209,38,-0.4046,56,0.33602
ENSG00000157933,SKI,30,0.42669,29,0.37737,36,0.68453,15,-0.8194,18,-0.4310
ENSG00000157916,RER1,49,-0.6318,99,0.64602,51,-0.5036,81,0.29204,57,-0.3598
ENSG00000157911,PEX10,26,-0.4245,54,0.93221,32,-0.0744,30,-0.2421,26,-0.4075
ENSG00000157870,PRXL2B,7,-2.9870,44,-0.0822,59,0.40486,52,0.25146,72,0.86133
