"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"1","L6b","ADHD",0.128337626961468,0.143894766135537,0.0111966590692176,1.12122040544462,0.0872437751445978,0.167600024543039,3.23559934146043e-09,2.91587958299121e-09,1.10964779215651,0.267150828262969,0.633405996042846
"5","L6b","Alzheimer Disease",0.128337626961468,0.232401914778485,0.0396780611399486,1.8108634254883,0.309169353364009,0.00455428745927558,8.93091674499145e-10,1.23213672338323e-09,0.724831633982039,0.468555326302528,0.800902708912461
"6","L6b","Anorexia",0.128337626961468,0.143948058742686,0.0154979598486216,1.12163565862025,0.120759283271418,0.312594136266884,6.10658401599161e-09,5.69733988744151e-09,1.0718307379646,0.283796064222086,0.639691371737972
"7","L6b","Autism",0.128337626961468,0.175514690295891,0.0217671364603282,1.36760118175309,0.169608375779486,0.0252748249829709,1.29157127069179e-08,6.33378510600651e-09,2.03917759929517,0.0414323057269951,0.282079852450495
"8","L6b","BMI",0.128337626961468,0.143699023570408,0.00756985892593528,1.11969518973225,0.0589839402921797,0.0402955477908411,-2.9451635890229e-10,2.34315510119836e-09,-0.125692216768606,0.899975563122652,0.97413607302658
"9","L6b","Bipolar",0.128337626961468,0.14783069880741,0.0107304582396354,1.15188898460616,0.0836111629433284,0.0734895390753249,-1.16791173769558e-09,3.19640887122375e-09,-0.36538246036354,0.714825932134356,0.94163696485987
"14","L6b","Epilepsy",0.128337626961468,0.213291073844055,0.0180064549112682,1.66195276392396,0.140305344095807,1.712279562569e-05,5.17679794243224e-08,1.83369498717623e-08,2.82315105763809,0.00475541600366817,0.0937752316286573
"15","L6b","Age of smoking",0.128337626961468,0.127351358482902,0.0132027133902698,0.992315048190328,0.102874844290472,0.940401073894438,-1.05451344916061e-09,1.02153313283094e-09,-1.03228511662493,0.301938571257835,0.639691371737972
"16","L6b","Cigarettes per day",0.128337626961468,0.147827183528407,0.0122954203772558,1.15186159373813,0.0958052651304467,0.104309078171086,9.83725988882337e-11,1.7348103471008e-09,0.0567051026947314,0.954780109195795,0.980816068872075
"17","L6b","Drinks per week",0.128337626961468,0.138414570200958,0.0115714853722949,1.07851900863427,0.0901644018692122,0.381657355098562,-5.00965487907491e-10,7.81487527289184e-10,-0.641040925688519,0.521496093552362,0.83202094599271
