Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,89,2.06892,10,-1.5891,20,-0.5466,25,-0.2073,18,-0.6892
ENSG00000188976,NOC2L,89,1.48477,17,-1.2122,17,-1.3359,42,0.27899,34,-0.1900
ENSG00000188290,HES4,89,0.70870,11,-2.4228,85,0.72956,55,-0.1150,44,-0.4806
ENSG00000187608,ISG15,89,1.03914,21,-1.2690,74,0.84637,46,-0.0918,18,-1.6221
ENSG00000188157,AGRN,89,2.34974,18,-0.4778,21,-0.2500,18,-0.6511,11,-1.2888
ENSG00000078808,SDF4,89,0.60665,62,0.00818,82,0.53206,50,-0.4881,51,-0.3174
ENSG00000176022,B3GALT6,89,2.24704,8,-1.7458,25,-0.0383,18,-0.7156,17,-0.6418
ENSG00000160087,UBE2J2,89,1.53385,19,-1.0179,38,0.06185,30,-0.4242,30,-0.3318
ENSG00000131584,ACAP3,89,1.47053,34,-0.1479,36,-0.0934,32,-0.3567,26,-0.6041
ENSG00000127054,INTS11,89,1.31750,37,-0.1639,48,0.27224,35,-0.3849,25,-0.8337
ENSG00000107404,DVL1,89,1.65322,28,-0.3092,38,0.16962,28,-0.4625,19,-0.9697
ENSG00000175756,AURKAIP1,89,-1.3098,108,-1.0246,293,0.63787,256,0.52194,142,-0.6652
ENSG00000221978,CCNL2,89,1.09679,40,-0.2178,31,-0.6898,44,-0.1058,47,0.03645
ENSG00000242485,MRPL20,89,-1.2086,140,-0.5260,216,0.18236,259,0.76189,128,-0.7312
ENSG00000235098,ANKRD65,89,1.86106,44,0.57884,37,0.32353,18,-1.0830,14,-1.2953
ENSG00000179403,VWA1,89,1.15826,201,2.85061,43,-0.0699,7,-3.3299,23,-1.1402
ENSG00000205090,TMEM240,89,2.50110,3,-3.0824,8,-1.5898,21,-0.1359,17,-0.5409
ENSG00000160075,SSU72,89,-0.5826,72,-0.9197,140,0.13589,165,0.63258,98,-0.4832
ENSG00000228594,FNDC10,89,2.52236,2,-3.3786,21,-0.1349,16,-0.7801,15,-0.6834
ENSG00000272106,AL691432.2,89,2.92468,13,-0.5347,8,-1.3598,15,-0.5879,7,-1.6214
ENSG00000197530,MIB2,89,2.25014,14,-0.9521,21,-0.3175,22,-0.3183,10,-1.4390
ENSG00000248333,CDK11B,89,1.35165,40,-0.0114,30,-0.4975,26,-0.9366,55,0.57259
ENSG00000189339,SLC35E2B,89,2.48236,11,-1.1731,30,0.52254,13,-1.1868,9,-1.5385
ENSG00000008128,CDK11A,89,2.04723,35,0.33394,16,-0.8979,18,-0.9213,26,-0.1508
ENSG00000215790,SLC35E2A,89,2.56857,12,-0.9354,19,-0.3015,12,-1.2872,18,-0.3432
ENSG00000008130,NADK,89,2.12241,14,-0.9756,18,-0.7055,19,-0.7819,28,0.07232
ENSG00000078369,GNB1,89,-2.1925,193,-1.0416,503,0.53676,428,0.30960,390,0.05771
ENSG00000187730,GABRD,89,0.16479,0,-6.5500,53,-0.7148,122,1.18428,62,-0.4634
ENSG00000067606,PRKCZ,89,-0.5791,43,-1.6854,117,-0.1704,170,0.74022,122,-0.1037
ENSG00000162585,FAAP20,89,1.10475,38,-0.3000,72,0.84913,32,-0.7652,30,-0.7157
ENSG00000157933,SKI,89,2.52205,16,-0.5585,18,-0.3800,11,-1.4494,21,-0.1593
ENSG00000157916,RER1,89,0.51771,61,-0.0892,82,0.43944,58,-0.2711,52,-0.4014
ENSG00000157911,PEX10,89,1.71306,26,-0.3539,39,0.31273,19,-1.0977,30,-0.2018
ENSG00000157870,PRXL2B,89,1.27158,6,-2.7417,34,-0.3796,42,0.01523,44,0.07482
ENSG00000177133,PRDM16-DT,89,2.01727,2,-3.6192,35,0.39273,7,-2.4765,47,0.95676
ENSG00000158109,TPRG1L,89,-0.6791,29,-2.3728,130,-0.1106,183,0.75858,135,-0.0358
ENSG00000130764,LRRC47,89,0.58089,37,-0.8284,51,-0.3610,73,0.38574,53,-0.2862
ENSG00000116198,CEP104,89,1.68234,67,1.15682,26,-0.4458,16,-1.4529,32,-0.1138
ENSG00000198912,C1orf174,89,2.80403,10,-0.9901,15,-0.5375,14,-0.7166,7,-1.6336
ENSG00000196581,AJAP1,89,1.35041,19,-1.1328,12,-1.9201,43,0.14372,49,0.37560
ENSG00000069424,KCNAB2,89,-0.3409,2,-5.6125,95,-0.2715,155,0.93076,103,-0.1309
ENSG00000116254,CHD5,89,-0.3911,3,-5.0548,84,-0.5290,122,0.14630,199,1.08357
