Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,89,2.06892,10,-1.5891,9,-1.6791,31,0.19166,28,-0.0044,15,-0.9699,31,0.19528,35,0.36618,2,-3.6196
ENSG00000188976,NOC2L,89,1.48477,17,-1.2122,13,-1.6095,20,-0.9335,47,0.40713,32,-0.2275,42,0.17601,36,-0.0745,31,-0.2712
ENSG00000188290,HES4,89,0.70870,11,-2.4228,90,0.72793,80,0.52237,46,-0.4208,32,-0.9091,98,0.85973,22,-1.4754,66,0.20475
ENSG00000187608,ISG15,89,1.03914,21,-1.2690,64,0.46207,85,0.95637,32,-0.6752,45,-0.1087,75,0.73468,27,-0.9068,9,-2.5072
ENSG00000188157,AGRN,89,2.34974,18,-0.4778,25,0.03924,17,-0.5348,20,-0.3018,10,-1.3055,21,-0.2329,22,-0.1614,0,-5.4974
ENSG00000078808,SDF4,89,0.60665,62,0.00818,52,-0.2657,112,0.99122,72,0.27585,16,-2.0286,39,-0.7171,36,-0.8315,67,0.12883
ENSG00000176022,B3GALT6,89,2.24704,8,-1.7458,18,-0.5174,32,0.34595,22,-0.2817,11,-1.2328,19,-0.4959,21,-0.2919,14,-0.9359
ENSG00000160087,UBE2J2,89,1.53385,19,-1.0179,15,-1.3798,61,0.84108,31,-0.2793,25,-0.5591,33,-0.1506,35,-0.0549,25,-0.5823
ENSG00000131584,ACAP3,89,1.47053,34,-0.1479,45,0.28299,27,-0.5454,43,0.25504,21,-0.8910,21,-0.9039,41,0.12046,12,-1.6822
ENSG00000127054,INTS11,89,1.31750,37,-0.1639,23,-0.8886,72,0.93576,44,0.14494,14,-1.6533,36,-0.2160,30,-0.4766,20,-1.1065
ENSG00000107404,DVL1,89,1.65322,28,-0.3092,33,-0.0524,42,0.33202,27,-0.3851,24,-0.5754,33,-0.0653,18,-0.9642,20,-0.8171
ENSG00000175756,AURKAIP1,89,-1.3098,108,-1.0246,255,0.32089,331,0.75806,212,0.02631,275,0.44498,324,0.72064,139,-0.6429,146,-0.5674
ENSG00000221978,CCNL2,89,1.09679,40,-0.2178,30,-0.6529,31,-0.6026,45,-0.0502,16,-1.5666,71,0.68872,46,-0.0149,49,0.07845
ENSG00000242485,MRPL20,89,-1.2086,140,-0.5260,188,-0.0598,244,0.35816,217,0.18976,289,0.63911,315,0.79075,104,-0.9806,151,-0.4017
ENSG00000235098,ANKRD65,89,1.86106,44,0.57884,23,-0.4519,50,0.81136,17,-0.9720,20,-0.6838,19,-0.7586,16,-1.0345,12,-1.3782
ENSG00000179403,VWA1,89,1.15826,201,2.85061,32,-0.5272,54,0.30600,9,-2.5590,2,-4.3397,7,-2.7706,20,-1.2225,25,-0.8939
ENSG00000205090,TMEM240,89,2.50110,3,-3.0824,5,-2.0908,11,-1.0401,23,0.02062,20,-0.2277,20,-0.1919,22,-0.0555,11,-1.0767
ENSG00000160075,SSU72,89,-0.5826,72,-0.9197,101,-0.3960,179,0.52243,164,0.43354,171,0.44901,161,0.35114,99,-0.4172,97,-0.4568
ENSG00000228594,FNDC10,89,2.52236,2,-3.3786,29,0.41528,13,-0.8945,14,-0.8223,10,-1.1680,25,0.13384,20,-0.1797,10,-1.2251
ENSG00000272106,AL691432.2,89,2.92468,13,-0.5347,9,-1.1438,8,-1.3821,18,-0.0698,12,-0.6885,9,-1.0660,12,-0.7370,2,-3.1164
ENSG00000197530,MIB2,89,2.25014,14,-0.9521,12,-1.1061,30,0.26800,22,-0.2638,22,-0.2275,23,-0.1789,20,-0.3657,1,-4.4572
ENSG00000248333,CDK11B,89,1.35165,40,-0.0114,30,-0.4439,30,-0.4561,36,-0.1808,24,-0.8252,7,-2.5496,81,1.17023,28,-0.5399
ENSG00000189339,SLC35E2B,89,2.48236,11,-1.1731,19,-0.2895,42,0.99106,16,-0.5769,10,-1.1786,8,-1.5653,8,-1.6478,10,-1.2376
ENSG00000008128,CDK11A,89,2.04723,35,0.33394,23,-0.2946,10,-1.6053,27,-0.0456,9,-1.7061,9,-1.7285,28,-0.0227,24,-0.2545
ENSG00000215790,SLC35E2A,89,2.56857,12,-0.9354,15,-0.5719,22,-0.0145,14,-0.7796,13,-0.8613,6,-1.8551,15,-0.6256,22,-0.0413
ENSG00000008130,NADK,89,2.12241,14,-0.9756,28,0.07878,7,-1.9528,23,-0.2618,16,-0.8395,13,-1.1270,19,-0.5286,37,0.51019
ENSG00000078369,GNB1,89,-2.1925,193,-1.0416,483,0.39861,524,0.53167,385,0.03131,553,0.62244,389,0.04536,420,0.16834,361,-0.0740
ENSG00000187730,GABRD,89,0.16479,0,-6.5500,28,-1.6168,78,-0.0451,174,1.59030,53,-0.6403,86,0.09932,109,0.48486,15,-2.5266
ENSG00000067606,PRKCZ,89,-0.5791,43,-1.6854,112,-0.2291,123,-0.0789,161,0.41146,181,0.54831,178,0.52167,189,0.62160,55,-1.3151
ENSG00000162585,FAAP20,89,1.10475,38,-0.3000,65,0.54994,79,0.88850,21,-1.3006,44,-0.0760,43,-0.0949,26,-0.8733,34,-0.4560
ENSG00000157933,SKI,89,2.52205,16,-0.5585,29,0.39927,7,-1.6877,10,-1.3205,16,-0.5452,7,-1.6382,17,-0.4703,25,0.13385
ENSG00000157916,RER1,89,0.51771,61,-0.0892,57,-0.2097,108,0.83614,67,0.04927,22,-1.6557,76,0.24369,36,-0.9326,68,0.06528
ENSG00000157911,PEX10,89,1.71306,26,-0.3539,37,0.17576,42,0.36822,18,-0.9954,14,-1.3338,28,-0.2794,16,-1.1003,43,0.41822
ENSG00000157870,PRXL2B,89,1.27158,6,-2.7417,34,-0.3482,34,-0.3359,41,-0.0615,43,0.05111,45,0.09436,45,0.12798,42,0.00249
ENSG00000177133,PRDM16-DT,89,2.01727,2,-3.6192,22,-0.4008,49,0.87712,7,-2.2333,5,-2.6098,11,-1.4681,9,-1.7330,85,1.90860
ENSG00000158109,TPRG1L,89,-0.6791,29,-2.3728,117,-0.2576,142,0.04701,205,0.75254,121,-0.2025,201,0.61736,156,0.19410,115,-0.2906
ENSG00000130764,LRRC47,89,0.58089,37,-0.8284,45,-0.5227,57,-0.1477,74,0.30727,64,0.02601,80,0.39709,65,0.06523,41,-0.6532
ENSG00000116198,CEP104,89,1.68234,67,1.15682,18,-0.9271,34,-0.0020,17,-1.1424,22,-0.6299,9,-1.9952,35,0.04591,28,-0.2625
ENSG00000198912,C1orf174,89,2.80403,10,-0.9901,19,-0.1148,11,-0.9644,13,-0.6744,7,-1.6120,24,0.26925,8,-1.2857,6,-1.7974
ENSG00000196581,AJAP1,89,1.35041,19,-1.1328,18,-1.2350,6,-2.6932,48,0.33481,40,0.00492,34,-0.2750,63,0.74059,35,-0.1976
ENSG00000069424,KCNAB2,89,-0.3409,2,-5.6125,104,-0.0960,86,-0.4052,185,0.99800,137,0.34197,114,0.05004,143,0.41273,63,-0.8777
ENSG00000116254,CHD5,89,-0.3911,3,-5.0548,96,-0.2792,73,-0.7055,126,0.17330,148,0.41004,87,-0.4337,322,1.80806,76,-0.6476
ENSG00000116251,RPL22,988,0.40755,994,0.41804,1359,0.94985,767,-0.0044,478,-0.8155,1078,0.55234,599,-0.3951,395,-1.0367,554,-0.5164
ENSG00000116237,ICMT,89,1.78170,19,-0.8288,9,-1.8338,20,-0.7506,41,0.46104,14,-1.2688,39,0.32076,22,-0.5934,26,-0.3154
ENSG00000097021,ACOT7,89,-1.3725,41,-2.5039,34,-2.8086,150,-0.5868,479,1.64500,151,-0.5804,467,1.29320,195,-0.1780,95,-1.2806
ENSG00000171680,PLEKHG5,89,2.72884,0,-9.2274,16,-0.4134,4,-2.3240,30,0.69096,11,-0.8975,9,-1.2852,18,-0.1857,0,-7.7373
ENSG00000162408,NOL9,89,2.12189,11,-1.3150,31,0.23370,26,-0.0431,16,-0.9272,23,-0.2782,17,-0.7035,30,0.15866,12,-1.2699
ENSG00000162413,KLHL21,89,1.99247,29,0.03681,10,-1.5674,38,0.44831,26,-0.1927,5,-2.6088,19,-0.6268,32,0.17562,13,-1.1613
ENSG00000041988,THAP3,89,2.41153,14,-0.7815,5,-2.2336,15,-0.6621,17,-0.5383,26,0.13323,21,-0.2044,15,-0.7153,17,-0.5124
ENSG00000007923,DNAJC11,89,2.35165,17,-0.5919,8,-1.6741,13,-0.9380,26,0.11850,25,0.01196,17,-0.5691,15,-0.7151,8,-1.6708
ENSG00000171735,CAMTA1,89,-1.4559,104,-1.2272,271,0.26530,335,0.61455,167,-0.5618,250,0.13325,145,-0.7197,515,1.37278,259,0.18954
ENSG00000049245,VAMP3,89,1.14878,164,2.34836,53,0.26474,41,-0.1613,12,-2.0579,15,-1.6094,23,-1.0330,17,-1.4908,23,-1.0323
ENSG00000049246,PER3,89,1.31929,58,0.55606,33,-0.3240,64,0.72680,15,-1.5987,10,-2.1489,15,-1.5452,31,-0.4125,79,1.08959
ENSG00000116288,PARK7,89,-2.4066,297,-0.6075,457,0.07122,718,0.82163,504,0.26195,580,0.46116,706,0.79236,223,-1.0483,294,-0.6259
ENSG00000116285,ERRFI1,89,2.20770,26,-0.0200,18,-0.5339,15,-0.7897,32,0.36693,7,-1.8606,16,-0.7120,12,-1.1563,12,-1.2073
ENSG00000162426,SLC45A1,89,2.12475,3,-3.2576,7,-1.9876,14,-1.0399,34,0.43000,9,-1.6655,39,0.57708,23,-0.2444,19,-0.5651
ENSG00000142599,RERE,89,-0.2626,126,0.29088,133,0.36956,138,0.44117,80,-0.4837,116,0.15731,63,-0.8034,136,0.41535,93,-0.2013
ENSG00000074800,ENO1,89,-3.1069,381,-0.9583,623,-0.1968,1170,0.83929,1023,0.70790,354,-1.0692,835,0.27315,395,-0.9040,1159,0.82329
ENSG00000171612,SLC25A33,89,0.68136,29,-1.1137,71,0.29389,165,1.80220,18,-1.9481,49,-0.2934,38,-0.6713,17,-1.8800,96,0.80186
ENSG00000171603,CLSTN1,89,-2.4268,91,-2.4012,192,-1.2896,472,0.10206,842,1.29127,304,-0.5913,434,-0.0358,674,0.69051,492,0.16847
ENSG00000178585,CTNNBIP1,89,1.56512,25,-0.5554,50,0.52446,27,-0.4141,22,-0.8038,36,0.01327,39,0.12421,18,-1.0114,29,-0.3310
ENSG00000162441,LZIC,89,0.41353,150,1.31276,86,0.34986,61,-0.1891,39,-0.9756,90,0.42906,38,-0.9421,64,-0.1229,36,-1.0255
ENSG00000162444,RBP7,89,2.55588,123,3.40974,3,-2.6465,0,-7.5159,0,-4.8262,0,-5.0332,0,-9.0640,2,-3.6075,5,-2.1779
ENSG00000130939,UBE4B,89,1.39503,50,0.39565,14,-1.5725,18,-1.2216,46,0.27690,28,-0.5432,31,-0.3727,58,0.64202,13,-1.6271
ENSG00000054523,KIF1B,89,-1.9807,474,0.60346,250,-0.4257,195,-0.8100,293,-0.1975,300,-0.1407,189,-0.8592,585,0.96655,608,1.03582
ENSG00000142657,PGD,89,0.75847,46,-0.3026,26,-1.1781,92,0.80316,56,0.00077,35,-0.7402,58,0.03955,54,-0.0661,50,-0.1849
ENSG00000175279,CENPS,89,2.50223,6,-1.8442,8,-1.4980,22,-0.0827,18,-0.3751,19,-0.2673,13,-0.8021,25,0.16336,7,-1.6505
ENSG00000241563,CORT,89,-1.5227,0,-8.9404,9,-4.7462,2071,5.76517,45,-2.6664,69,-1.9110,41,-2.6723,39,-2.7271,0,-9.2021
ENSG00000160049,DFFA,89,1.05269,81,0.88810,51,0.10806,45,-0.0676,30,-0.8001,24,-1.0602,35,-0.4746,45,-0.0747,44,-0.1037
ENSG00000142655,PEX14,89,2.47298,7,-1.8112,11,-1.1020,8,-1.6516,32,0.60604,10,-1.2981,11,-1.0942,18,-0.4059,13,-0.8330
ENSG00000120948,TARDBP,89,0.53622,100,0.73067,43,-0.6276,26,-1.3878,75,0.27771,61,-0.0700,45,-0.5713,69,0.10831,60,-0.1175
ENSG00000116649,SRM,89,0.27584,30,-1.4104,75,-0.0132,141,1.04882,94,0.41258,64,-0.2624,78,0.06596,30,-1.4021,57,-0.4292
ENSG00000171824,EXOSC10,89,1.55592,48,0.45368,20,-0.8913,22,-0.7364,38,0.10427,11,-1.7713,33,-0.1460,32,-0.1911,28,-0.3661
ENSG00000198793,MTOR,89,1.17186,23,-0.9947,14,-1.7844,40,-0.1614,70,0.86946,21,-1.1586,47,0.08587,33,-0.4779,38,-0.2575
ENSG00000116661,FBXO2,89,-1.3226,113,-0.9625,388,1.02101,330,0.73743,234,0.18828,188,-0.1838,251,0.28494,98,-1.1816,182,-0.2304
ENSG00000132879,FBXO44,89,0.34394,17,-2.1524,45,-0.7403,80,0.16102,113,0.85513,72,-0.0092,97,0.47591,64,-0.1852,33,-1.2223
ENSG00000116670,MAD2L2,89,2.31806,24,-0.0156,8,-1.5955,35,0.57610,18,-0.5144,12,-1.1371,23,-0.0964,10,-1.3120,8,-1.7091
ENSG00000011021,CLCN6,89,0.97650,41,-0.3133,40,-0.3344,34,-0.5719,50,0.01705,38,-0.4272,51,0.04825,54,0.14218,48,-0.0408
ENSG00000116685,KIAA2013,89,1.80763,39,0.31687,14,-1.1997,30,-0.0656,26,-0.3331,16,-1.0205,16,-1.0426,36,0.21509,23,-0.4896
ENSG00000083444,PLOD1,89,2.30486,30,0.27534,17,-0.5518,21,-0.2323,16,-0.7772,6,-2.1015,16,-0.6492,15,-0.8130,23,-0.1331
ENSG00000116688,MFN2,89,0.05428,59,-0.5945,48,-0.9216,102,0.26883,114,0.51762,67,-0.4070,97,0.18068,133,0.70224,42,-1.1176
ENSG00000116691,MIIP,89,2.57529,7,-1.6422,19,-0.2554,29,0.44021,15,-0.6560,8,-1.4693,11,-1.1115,12,-0.8633,15,-0.5819
ENSG00000048707,VPS13D,89,0.63677,42,-0.5803,41,-0.5937,21,-1.6047,77,0.45279,24,-1.3934,36,-0.7878,99,0.81922,97,0.77548
ENSG00000162496,DHRS3,89,1.80008,26,-0.3117,48,0.68128,21,-0.6233,17,-1.0655,7,-2.2315,11,-1.6337,9,-1.9384,73,1.40862
ENSG00000116731,PRDM2,89,-0.5730,94,-0.4903,116,-0.1629,47,-1.5436,126,-0.0376,162,0.36704,51,-1.4357,369,1.84655,108,-0.2760
ENSG00000189337,KAZN,89,0.96066,81,0.79501,21,-1.3336,27,-0.9227,45,-0.1925,62,0.35725,49,-0.0305,48,-0.0638,32,-0.6840
ENSG00000142634,EFHD2,89,0.15790,10,-3.0821,109,0.48616,18,-2.2643,76,-0.1240,141,0.91898,62,-0.4219,162,1.16444,67,-0.2903
ENSG00000116138,DNAJC16,89,1.73479,20,-0.7637,9,-1.8537,25,-0.4081,35,0.11878,15,-1.1582,16,-1.1188,46,0.53023,37,0.20657
ENSG00000197312,DDI2,89,1.73395,22,-0.6327,18,-0.8882,15,-1.1676,33,0.01982,14,-1.3220,25,-0.4094,42,0.41101,36,0.13631
ENSG00000116786,PLEKHM2,89,0.43534,29,-1.3148,141,1.22529,40,-0.8316,46,-0.6815,106,0.72332,52,-0.4301,80,0.24928,54,-0.3744
ENSG00000065526,SPEN,89,-0.3274,238,1.30962,82,-0.4521,28,-2.0920,61,-0.9896,42,-1.4775,14,-3.0699,315,1.84608,169,0.70660
ENSG00000116809,ZBTB17,89,2.70994,25,0.28878,21,0.03740,3,-2.7048,11,-1.0538,17,-0.2766,12,-0.8207,16,-0.3952,2,-3.2143
ENSG00000185519,FAM131C,89,2.79258,28,0.54089,5,-1.8933,20,-0.0209,8,-1.4503,5,-1.9308,22,0.16932,9,-1.2016,5,-1.9039
ENSG00000037637,FBXO42,89,2.56158,10,-1.2257,8,-1.4437,27,0.31208,14,-0.8041,7,-1.6101,18,-0.3365,20,-0.1562,15,-0.6492
ENSG00000055070,SZRD1,89,1.90847,51,0.87126,59,1.11972,23,-0.4352,11,-1.5787,15,-1.0909,8,-1.8853,19,-0.6890,13,-1.2098
ENSG00000157191,NECAP2,89,2.42076,33,0.53244,40,0.84717,29,0.30570,4,-2.7787,9,-1.4134,10,-1.2436,5,-2.3438,14,-0.8060
ENSG00000219481,NBPF1,89,2.27291,41,0.78693,30,0.28715,11,-1.2247,9,-1.5847,13,-1.0033,9,-1.4889,19,-0.4167,20,-0.3418
ENSG00000159363,ATP13A2,89,0.17476,14,-2.6434,46,-0.8649,114,0.57383,93,0.27270,67,-0.2876,101,0.36841,104,0.41823,81,0.02470
ENSG00000117118,SDHB,89,-0.3901,77,-0.6113,67,-0.8404,225,1.13165,123,0.12563,128,0.17677,184,0.78314,65,-0.8766,64,-0.8953
ENSG00000117115,PADI2,89,0.66315,294,3.11287,49,-0.3122,23,-1.4784,7,-3.3420,9,-2.8059,5,-3.4772,14,-2.2068,100,0.84828
ENSG00000179051,RCC2,89,2.62225,24,0.13255,6,-1.8598,16,-0.4658,15,-0.6244,7,-1.5936,20,-0.1080,15,-0.5581,9,-1.3283
ENSG00000117154,IGSF21,89,0.74562,13,-2.1908,35,-0.7637,38,-0.6286,100,1.11914,37,-0.6660,40,-0.5433,82,0.60037,33,-0.8425
ENSG00000159423,ALDH4A1,89,2.10710,18,-0.6284,21,-0.3919,39,0.56262,8,-2.0048,6,-2.2244,10,-1.4794,8,-1.7792,66,1.49620
