Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to11,Feature log2 fold change topic 5to11
ENSG00000228794,LINC01128,6,-1.8607,28,0.61085,22,0.33997
ENSG00000188976,NOC2L,27,-0.7562,53,0.36948,45,0.15397
ENSG00000188290,HES4,19,-1.6854,46,-0.3304,69,1.06261
ENSG00000187608,ISG15,34,-0.4961,33,-0.5543,52,0.64556
ENSG00000188157,AGRN,39,0.94769,28,0.29300,18,-0.8882
ENSG00000078808,SDF4,55,-0.1972,47,-0.4349,67,0.39090
ENSG00000176022,B3GALT6,12,-0.8968,24,0.23770,23,0.31847
ENSG00000160087,UBE2J2,19,-1.0089,32,-0.1791,41,0.67543
ENSG00000131584,ACAP3,131,0.76718,107,0.38968,68,-0.8068
ENSG00000127054,INTS11,49,0.19676,33,-0.4909,46,0.15263
ENSG00000224051,CPTP,9,-1.1893,15,-0.4792,24,0.96628
ENSG00000107404,DVL1,42,-0.5619,67,0.23561,61,0.16102
ENSG00000175756,AURKAIP1,94,-1.6985,173,-0.7463,346,1.36999
ENSG00000221978,CCNL2,69,0.48700,32,-0.8116,54,0.08659
ENSG00000242485,MRPL20,101,-1.1818,124,-0.8481,259,1.20085
ENSG00000235098,ANKRD65,44,0.52773,14,-1.3977,35,0.27736
ENSG00000179403,VWA1,115,2.73978,7,-2.5646,20,-1.5980
ENSG00000197785,ATAD3A,14,-0.6179,19,-0.1064,22,0.43165
ENSG00000205090,TMEM240,7,-1.9787,33,0.49298,28,0.47316
ENSG00000160075,SSU72,93,-0.9340,133,-0.3436,190,0.75293
ENSG00000228594,FNDC10,10,-1.7395,40,0.52962,32,0.37899
ENSG00000272106,AL691432.2,10,-0.7909,7,-1.4341,21,1.28636
ENSG00000197530,MIB2,36,-0.2986,40,-0.1256,46,0.26525
ENSG00000248333,CDK11B,91,0.94937,77,0.61265,38,-1.1195
ENSG00000189339,SLC35E2B,16,0.24502,12,-0.2453,14,-0.0167
ENSG00000008128,CDK11A,98,2.37963,24,-0.5030,17,-1.8409
ENSG00000215790,SLC35E2A,7,-1.5513,18,-0.1623,24,0.88618
ENSG00000008130,NADK,14,-0.2932,15,-0.1805,18,0.29712
ENSG00000078369,GNB1,168,-1.5504,444,0.03747,508,0.73005
ENSG00000187730,GABRD,16,-3.1250,135,0.21070,145,0.94075
ENSG00000067606,PRKCZ,92,-1.2307,244,0.40631,210,0.32005
ENSG00000162585,FAAP20,42,-0.4243,43,-0.3942,60,0.50763
ENSG00000157933,SKI,47,1.54233,21,-0.0061,14,-1.2382
ENSG00000157916,RER1,57,-0.0928,24,-1.4544,71,0.79736
ENSG00000157911,PEX10,30,0.02187,20,-0.7194,33,0.39448
ENSG00000149527,PLCH2,15,0.03867,17,0.28077,14,-0.2128
ENSG00000157870,PRXL2B,11,-2.2609,59,0.33207,56,0.67998
ENSG00000177133,PRDM16-DT,5,-2.1435,25,0.42069,22,0.57568
ENSG00000158109,TPRG1L,42,-2.0986,154,-0.0421,192,0.96177
ENSG00000130764,LRRC47,34,-0.7721,51,-0.1099,61,0.51329
ENSG00000116198,CEP104,87,1.74638,43,0.27095,21,-1.6284
ENSG00000196581,AJAP1,24,-0.3142,45,0.80685,26,-0.4098
ENSG00000069424,KCNAB2,34,-2.8298,222,0.13080,250,0.96862
ENSG00000116254,CHD5,38,-2.5293,475,1.94753,147,-0.7993
ENSG00000116251,RPL22,806,0.11657,511,-0.6631,810,0.29865
ENSG00000116237,ICMT,14,-0.6781,24,0.26054,21,0.20010
ENSG00000097021,ACOT7,57,-2.2009,142,-0.7845,299,1.58100
ENSG00000171680,PLEKHG5,1,-4.2733,22,-0.1567,31,1.40412
ENSG00000162408,NOL9,9,-1.0363,35,1.29365,15,-0.5202
ENSG00000162413,KLHL21,29,0.85124,15,-0.3620,16,-0.4218
ENSG00000041988,THAP3,12,-0.7623,22,0.23357,20,0.26033
ENSG00000007923,DNAJC11,14,-0.8446,27,0.16247,26,0.35176
ENSG00000171735,CAMTA1,193,-0.0273,398,1.39546,139,-1.0849
ENSG00000049245,VAMP3,98,2.38199,11,-1.6888,20,-1.3993
ENSG00000049246,PER3,56,1.81076,16,-0.5473,15,-1.2144
