Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000228794,LINC01128,9,-1.1811,13,-0.7050,32,0.96166,12,-0.7752,19,-0.1607
ENSG00000188976,NOC2L,38,0.10430,25,-0.5615,62,1.31982,9,-2.0556,25,-0.7749
ENSG00000188290,HES4,16,-1.7165,76,0.63781,43,-0.3489,101,1.13387,48,-0.1699
ENSG00000187608,ISG15,24,-0.9108,81,1.04282,35,-0.4000,35,-0.3238,47,0.18560
ENSG00000188157,AGRN,44,1.38622,25,0.45447,28,0.81377,2,-3.2131,9,-1.4033
ENSG00000078808,SDF4,55,0.44427,55,0.44830,55,0.59233,14,-1.6209,32,-0.5717
ENSG00000176022,B3GALT6,12,-0.6885,17,-0.1280,36,1.63459,1,-4.2514,12,-0.8759
ENSG00000160087,UBE2J2,32,0.06760,30,0.00624,48,1.07535,19,-0.7300,19,-0.9391
ENSG00000131584,ACAP3,102,0.99231,48,-0.2469,114,1.83998,2,-4.8334,17,-2.2348
ENSG00000127054,INTS11,59,0.84056,21,-0.8046,56,1.06899,23,-0.6587,21,-1.1174
ENSG00000224051,CPTP,12,-0.0605,9,-0.4628,23,1.53722,0,-3.8537,8,-0.8709
ENSG00000107404,DVL1,36,-0.0996,71,1.03381,47,0.44440,47,0.34227,22,-1.1673
ENSG00000175756,AURKAIP1,132,-0.9956,235,-0.0974,245,-0.0362,341,0.50595,264,0.13171
ENSG00000221978,CCNL2,80,0.72972,46,-0.1540,61,0.38618,95,1.03590,26,-1.3348
ENSG00000242485,MRPL20,151,-0.6910,247,0.08245,159,-0.7448,201,-0.2442,317,0.82164
ENSG00000235098,ANKRD65,48,1.70497,27,0.69334,20,0.21115,1,-3.8378,11,-1.0586
ENSG00000179403,VWA1,186,3.95231,25,-0.2368,16,-1.0457,1,-4.3386,7,-2.5201
ENSG00000205090,TMEM240,8,-1.4783,10,-1.1777,31,0.83233,35,0.82398,17,-0.5181
ENSG00000160075,SSU72,62,-1.4314,155,-0.0200,178,0.25765,156,-0.0085,167,0.13955
ENSG00000228594,FNDC10,4,-2.4950,27,0.47436,37,1.44453,19,-0.1412,11,-1.2663
ENSG00000272106,AL691432.2,19,0.25295,14,-0.2807,15,-0.1182,16,-0.0376,17,0.11060
ENSG00000197530,MIB2,13,-1.0871,27,0.05399,47,1.38853,19,-0.5330,16,-1.0246
ENSG00000248333,CDK11B,55,0.33757,25,-0.9071,40,-0.2161,78,0.91745,42,-0.1336
ENSG00000008128,CDK11A,42,1.09727,24,0.14109,24,0.26137,0,-4.6402,19,-0.2766
ENSG00000215790,SLC35E2A,11,-0.5365,20,0.36130,22,0.75038,0,-4.2104,15,-0.1271
ENSG00000008130,NADK,24,0.45497,18,-0.0075,29,1.06803,2,-3.0235,13,-0.7666
ENSG00000078369,GNB1,221,-0.9328,509,0.38025,534,0.62608,347,-0.2373,336,-0.4081
ENSG00000187730,GABRD,3,-4.5198,43,-0.7675,121,1.34001,39,-0.8925,62,-0.2635
ENSG00000067606,PRKCZ,107,-0.9053,168,-0.2051,288,0.94915,204,0.10949,141,-0.6632
ENSG00000162585,FAAP20,41,-0.1314,68,0.68841,47,0.10350,53,0.25277,36,-0.4770
ENSG00000157933,SKI,29,1.27268,22,0.78477,19,0.79429,0,-3.9703,6,-1.4670
ENSG00000157916,RER1,83,0.59174,43,-0.4483,55,-0.1114,40,-0.5789,62,0.16654
ENSG00000157911,PEX10,31,0.38077,36,0.62017,37,0.95818,5,-2.2608,15,-0.9943
ENSG00000197921,HES5,0,-7.5986,106,2.30200,35,0.31820,4,-2.9056,21,-0.7591
ENSG00000157870,PRXL2B,16,-1.5382,53,0.31869,56,0.57658,25,-0.8288,42,-0.0443
ENSG00000177133,PRDM16-DT,3,-2.7501,71,2.26908,30,0.87809,7,-1.6559,8,-1.8041
ENSG00000158109,TPRG1L,25,-2.7628,116,-0.4695,238,0.95779,156,-0.0096,140,-0.2706
ENSG00000130764,LRRC47,57,0.13648,26,-1.0788,84,1.09296,20,-1.4779,43,-0.4679
ENSG00000116198,CEP104,63,1.74316,20,-0.1774,27,0.36169,5,-2.2694,15,-0.9108
ENSG00000196581,AJAP1,27,0.02501,12,-1.2397,41,1.00124,2,-3.4374,25,-0.1115
ENSG00000069424,KCNAB2,10,-3.7819,168,0.38589,218,1.18147,60,-1.2265,108,-0.4565
ENSG00000116254,CHD5,14,-3.5749,171,0.17655,267,1.35190,165,0.11723,95,-1.0060
ENSG00000116251,RPL22,901,0.42497,793,0.21402,390,-1.0780,618,-0.1844,865,0.57463
ENSG00000116237,ICMT,31,0.25920,24,-0.1201,36,0.68532,19,-0.4704,20,-0.5852
ENSG00000097021,ACOT7,53,-2.0557,60,-1.8522,237,0.32280,164,-0.3384,262,0.66788
ENSG00000171680,PLEKHG5,0,-8.3798,14,-0.0144,22,1.10929,0,-3.9999,14,0.07927
ENSG00000162408,NOL9,21,-0.0997,23,0.03496,34,0.89638,27,0.29006,13,-1.0740
ENSG00000162413,KLHL21,42,1.53318,31,0.97742,19,0.23221,1,-4.2552,10,-1.1055
ENSG00000041988,THAP3,19,0.01764,20,0.04239,21,0.20382,27,0.54401,15,-0.4608
ENSG00000007923,DNAJC11,16,-0.2600,26,0.49839,29,0.91022,2,-3.1509,15,-0.4961
ENSG00000171735,CAMTA1,145,-0.7401,209,-0.1677,334,0.81816,265,0.21224,176,-0.6157
ENSG00000049245,VAMP3,158,3.06352,56,0.89378,21,-0.8011,0,-5.2254,12,-1.9523
ENSG00000049246,PER3,69,1.29058,59,1.00542,38,0.37866,16,-1.0740,15,-1.4518
ENSG00000116288,PARK7,262,-0.9680,494,0.02279,318,-0.8128,585,0.29684,644,0.75019
ENSG00000116285,ERRFI1,28,1.07717,9,-0.8090,19,0.55628,15,-0.0104,10,-0.8903
ENSG00000162426,SLC45A1,12,-0.7307,6,-1.6087,37,1.61514,1,-4.4504,16,-0.4406
ENSG00000142599,RERE,150,1.16900,86,0.22770,92,0.44137,9,-3.0656,57,-0.6100
ENSG00000074800,ENO1,364,-0.9104,903,0.52877,710,0.17534,479,-0.4904,664,0.03965
ENSG00000171612,SLC25A33,18,-0.9479,52,0.71987,21,-0.8472,55,0.83144,36,0.19821
ENSG00000171603,CLSTN1,161,-1.4541,242,-0.8327,732,1.40216,322,-0.3962,303,-0.6834
ENSG00000178585,CTNNBIP1,22,-0.6888,40,0.21755,39,0.23776,57,0.81503,28,-0.4900
ENSG00000162441,LZIC,98,1.08963,65,0.38702,43,-0.3330,5,-3.4510,53,0.10728
ENSG00000130939,UBE4B,38,0.31529,28,-0.1509,47,0.90682,1,-4.9193,26,-0.3824
ENSG00000054523,KIF1B,418,0.68330,256,-0.1171,400,0.84110,162,-0.8307,181,-0.9049
ENSG00000142657,PGD,57,-0.1007,34,-0.8765,68,0.24797,149,1.53707,40,-0.8651
ENSG00000175279,CENPS,2,-2.9548,10,-0.9468,11,-0.9048,29,0.72852,28,1.10787
ENSG00000241563,CORT,10,-6.7527,63,-4.1527,74,-4.2459,9667,7.42954,51,-5.0084
ENSG00000160049,DFFA,73,1.07321,43,0.18336,49,0.52507,21,-0.9293,25,-0.9099
ENSG00000142655,PEX14,8,-0.9251,26,0.89507,19,0.48905,3,-2.4270,14,-0.1357
ENSG00000120948,TARDBP,104,0.93241,60,0.00976,80,0.66588,14,-2.1911,44,-0.6654
ENSG00000116649,SRM,41,-0.7425,62,-0.0836,77,0.32206,31,-1.1745,74,0.27828
ENSG00000171824,EXOSC10,60,0.84245,16,-1.1968,31,-0.3032,78,1.31245,28,-0.5453
ENSG00000198793,MTOR,19,-1.1004,37,-0.1102,49,0.48509,39,0.00281,37,-0.1073
ENSG00000116661,FBXO2,132,-0.7460,398,1.04435,184,-0.2978,146,-0.5926,226,0.14477
ENSG00000132879,FBXO44,16,-2.2314,44,-0.6952,111,1.11673,56,-0.3373,60,-0.3072
ENSG00000116670,MAD2L2,21,0.61681,21,0.59397,16,0.22535,0,-4.0576,13,-0.1805
ENSG00000011021,CLCN6,42,-0.2218,32,-0.6346,99,1.82538,21,-1.2755,24,-1.4208
ENSG00000116685,KIAA2013,72,1.63810,21,-0.4357,37,0.62513,33,0.25823,10,-1.8965
ENSG00000083444,PLOD1,25,0.94987,11,-0.2994,21,0.94282,12,-0.2545,7,-1.3830
ENSG00000116688,MFN2,79,-0.1390,42,-1.1044,134,1.02551,47,-0.9396,73,-0.3815
ENSG00000116691,MIIP,19,0.28867,14,-0.1953,23,0.87010,11,-0.5015,11,-0.7775
ENSG00000048707,VPS13D,49,-0.2740,45,-0.4077,62,0.14323,157,1.73106,36,-1.0166
ENSG00000162496,DHRS3,12,-0.1317,43,2.06671,19,0.81650,0,-3.9577,5,-1.8831
ENSG00000116731,PRDM2,123,-0.1014,65,-1.0980,139,0.11397,146,0.16644,141,0.17298
ENSG00000189337,KAZN,69,0.80194,39,-0.1342,56,0.61192,28,-0.6522,30,-0.7491
ENSG00000142634,EFHD2,22,-2.5532,111,-0.1080,246,1.93840,52,-1.2815,66,-1.2186
ENSG00000116138,DNAJC16,28,0.44264,26,0.31938,33,1.00419,1,-4.1307,15,-0.7885
ENSG00000197312,DDI2,41,0.74723,17,-0.6039,46,1.38475,1,-4.8450,15,-1.0565
ENSG00000116786,PLEKHM2,36,-0.8814,92,0.59176,74,0.32720,30,-1.1515,64,0.01429
ENSG00000065526,SPEN,167,1.23523,62,-0.4184,69,-0.2947,102,0.37820,66,-0.4315
ENSG00000116809,ZBTB17,22,0.54388,18,0.26563,29,1.54473,0,-4.1806,7,-1.5924
ENSG00000037637,FBXO42,18,0.33640,11,-0.4539,21,0.81065,14,-0.1181,10,-0.7780
ENSG00000055070,SZRD1,69,1.82287,41,0.86632,24,0.02409,1,-4.6824,14,-1.0656
ENSG00000157191,NECAP2,27,0.27435,25,0.15840,18,-0.4505,98,2.74395,6,-2.4950
ENSG00000219481,NBPF1,33,1.21175,24,0.64820,17,0.18068,13,-0.3000,9,-1.0995
ENSG00000238142,BX284668.5,8,-1.0138,24,0.67610,6,-1.5205,4,-2.0325,25,1.41921
ENSG00000159363,ATP13A2,27,-1.9994,90,-0.1586,164,1.18519,160,0.78236,57,-1.1710
ENSG00000117118,SDHB,59,-0.7781,73,-0.4538,68,-0.7110,128,0.43665,129,0.73460
ENSG00000117115,PADI2,398,4.15562,69,0.23450,30,-1.2501,6,-3.3096,8,-3.4854
ENSG00000179051,RCC2,25,0.89419,12,-0.2223,21,0.87127,4,-1.7697,10,-0.8436
ENSG00000117154,IGSF21,9,-2.8214,32,-0.9775,103,1.27616,51,-0.2860,51,-0.3830
ENSG00000159423,ALDH4A1,20,-0.1543,34,0.68387,30,0.68489,25,0.21075,13,-1.1105
ENSG00000127481,UBR4,34,0.54116,29,0.28167,30,0.43470,0,-4.7826,22,-0.1766
ENSG00000127463,EMC1,21,-0.1772,19,-0.3002,36,0.99105,19,-0.3318,17,-0.7303
ENSG00000053372,MRTO4,31,-0.5217,34,-0.4093,51,0.33666,40,-0.1185,44,0.04175
ENSG00000053371,AKR7A2,44,0.29638,90,1.53737,24,-0.7591,6,-2.6698,38,0.10059
ENSG00000077549,CAPZB,151,-0.6669,197,-0.2536,219,-0.1125,312,0.49000,249,0.18117
ENSG00000173436,MICOS10,195,-1.3098,520,0.21433,306,-0.7618,548,0.30185,593,0.70445
ENSG00000158747,NBL1,41,-1.6736,135,0.13737,196,1.07390,90,-0.4955,96,-0.5687
ENSG00000169914,OTUD3,9,-0.4478,6,-1.1053,17,0.76717,2,-2.5443,13,0.20839
ENSG00000162545,CAMK2N1,964,-0.5925,1567,0.17556,1179,-0.3497,1008,-0.5243,1744,0.56474
ENSG00000090432,MUL1,19,0.16794,11,-0.6298,21,0.43901,32,1.08974,11,-0.8995
ENSG00000158828,PINK1,175,-1.1837,398,0.08783,494,0.59790,254,-0.6207,364,-0.0790
ENSG00000244038,DDOST,20,-0.7264,19,-0.7421,44,0.74553,37,0.26629,27,-0.3797
ENSG00000117245,KIF17,2,-3.0813,7,-1.2686,23,0.86299,0,-4.1671,19,0.57786
ENSG00000189410,SH2D5,1,-3.8734,17,-0.5990,46,1.42212,4,-2.7291,24,-0.1637
ENSG00000127483,HP1BP3,275,0.72200,148,-0.2835,191,0.15678,130,-0.4882,162,-0.2153
ENSG00000075151,EIF4G3,143,-0.5457,62,-1.8032,189,-0.1314,207,0.04370,260,0.66824
ENSG00000076864,RAP1GAP,38,-1.5150,35,-1.6503,208,1.81903,34,-1.7067,76,-0.6821
ENSG00000090686,USP48,111,0.67394,32,-1.2945,71,-0.0731,91,0.35337,72,-0.0463
ENSG00000070831,CDC42,230,0.06466,130,-0.8231,207,-0.1329,245,0.16598,246,0.26600
ENSG00000004487,KDM1A,40,-0.3238,33,-0.6337,55,0.23880,21,-1.3000,58,0.42667
ENSG00000169641,LUZP1,17,-2.3348,45,-0.8553,129,1.17476,73,-0.1201,66,-0.3971
ENSG00000125944,HNRNPR,190,0.82728,71,-0.7441,106,-0.1656,93,-0.3350,120,0.09384
ENSG00000117318,ID3,75,2.60671,98,3.29901,2,-3.3434,2,-3.0611,0,-5.0026
ENSG00000142676,RPL11,822,0.63342,736,0.44766,320,-1.0459,552,-0.0190,630,0.29940
ENSG00000011007,ELOA,30,0.20323,19,-0.5089,31,0.28784,37,0.52180,22,-0.4166
ENSG00000057757,PITHD1,111,-0.5549,68,-1.2921,192,0.42299,236,0.66116,147,-0.1709
ENSG00000011009,LYPLA2,14,-0.6564,21,2.08928,29,0.69090,0,-4.6106,22,0.12340
ENSG00000117305,HMGCL,30,0.58021,21,0.00981,14,-0.7293,28,0.43214,22,0.12610
ENSG00000189266,PNRC2,80,0.76430,46,-0.1289,48,-0.0803,15,-1.7961,54,0.17575
ENSG00000188529,SRSF10,98,0.94669,51,-0.1272,58,0.10175,27,-1.1269,51,-0.1962
ENSG00000001461,NIPAL3,275,1.78518,27,-1.9425,135,0.68603,94,-0.0822,47,-1.4892
ENSG00000133226,SRRM1,352,1.02607,147,-0.4121,164,-0.2989,233,0.32777,170,-0.2597
ENSG00000169504,CLIC4,263,4.18943,52,0.46373,16,-1.6256,7,-2.5818,5,-3.4554
ENSG00000117614,SYF2,155,0.35767,116,-0.1047,91,-0.6090,136,0.15188,140,0.30996
ENSG00000117616,RSRP1,112,1.00056,37,-0.7732,79,0.55359,37,-0.7994,48,-0.5630
ENSG00000183726,TMEM50A,110,0.93302,55,-0.1978,51,-0.3905,29,-1.1602,70,0.25419
ENSG00000204178,MACO1,56,0.39250,22,-1.0396,51,0.32169,64,0.60716,36,-0.4505
ENSG00000117643,MAN1C1,11,-0.8982,14,-0.4983,32,1.16223,2,-3.1754,18,-0.1885
ENSG00000162430,SELENON,31,0.36841,39,0.74732,32,0.55761,49,1.16491,8,-2.1433
ENSG00000117640,MTFR1L,49,-0.2724,57,-0.0145,93,1.10396,56,-0.0646,35,-1.0690
ENSG00000117632,STMN1,1185,-0.6817,691,-1.5006,1130,-0.9149,2112,0.23145,2731,1.15096
ENSG00000158008,EXTL1,5,-2.4385,35,0.27929,55,1.54296,11,-1.5289,20,-0.8595
ENSG00000142684,ZNF593,23,-0.9522,48,0.16349,40,-0.1792,70,0.78433,43,-0.0010
ENSG00000142669,SH3BGRL3,149,-0.6972,211,-0.1569,221,-0.1053,179,-0.4128,282,0.48866
ENSG00000158062,UBXN11,11,-1.2022,26,0.12090,26,0.14527,5,-2.2135,30,0.59175
ENSG00000117682,DHDDS,7,-1.2502,14,-0.2633,26,1.01543,0,-4.3025,17,0.00510
