"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"1","VLMC","ADHD",0.10569823754072,0.0922887320085549,0.01046924231412,0.873134066904389,0.0990484094882544,0.196891488183347,-5.03294159213902e-09,3.45915058296972e-09,-1.45496458492367,0.145679066175465,0.471080656640982
"5","VLMC","Alzheimer Disease",0.10569823754072,0.18961655101055,0.0455070592735777,1.79394241022705,0.430537540950447,0.0557145851295346,-1.30820125866742e-09,1.53948286424988e-09,-0.849766690521009,0.395454812124852,0.714505035713343
"6","VLMC","Anorexia",0.10569823754072,0.115468845066627,0.0147654593105407,1.0924386986315,0.139694470353419,0.509843292357954,5.68448411489411e-09,6.5197308571831e-09,0.871889383076487,0.383268726164121,0.711275449951089
"7","VLMC","Autism",0.10569823754072,0.0915269488217181,0.0194678879003232,0.865926915635255,0.184183656731488,0.461305305057848,-5.23286574803263e-09,6.75070081825124e-09,-0.775158889264508,0.438245777266655,0.740414354504321
"8","VLMC","BMI",0.10569823754072,0.109640188314045,0.00606596714425303,1.03729438508193,0.0573894824113424,0.516229963839271,-6.9714373398509e-09,2.32617817353545e-09,-2.99694899520759,0.00272696334428601,0.0572662302300063
"9","VLMC","Bipolar",0.10569823754072,0.100285935314775,0.00895477801140609,0.948794773197045,0.0847202206939003,0.545128159616206,-1.17094425279427e-08,3.12073202558106e-09,-3.75214610929705,0.000175327227432863,0.0118134572956389
"14","VLMC","Epilepsy",0.10569823754072,0.114302710806881,0.019397174766623,1.08140602403939,0.18351464714963,0.657235041319039,-3.06016962508272e-08,2.20724677539476e-08,-1.38641934340822,0.165618893257693,0.48274247004495
"15","VLMC","Age of smoking",0.10569823754072,0.0900576148857941,0.0107037815812171,0.852025700533557,0.101267361029492,0.142481005005308,-2.61214121752234e-09,1.04276489557347e-09,-2.50501453262462,0.0122446362181881,0.15401041747335
"16","VLMC","Cigarettes per day",0.10569823754072,0.122329693369158,0.0170604985029163,1.15734846876733,0.161407596757172,0.331706725381187,-4.23856529852962e-10,2.84182136588929e-09,-0.149149603469297,0.881435585680932,0.961277273403064
"17","VLMC","Drinks per week",0.10569823754072,0.123285469919208,0.0144370630871855,1.1663909710104,0.136587547939233,0.228224551750571,-2.13998929288924e-11,1.13469968328697e-09,-0.0188595213730048,0.984953171057533,0.989460335394626
"18","VLMC","Smoking cessation",0.10569823754072,0.112108851325463,0.00774288338997873,1.06065014832696,0.0732546120931847,0.41139625409621,-1.74532008082282e-09,1.13754178960853e-09,-1.534290956839,0.124958089478909,0.432858037335581
