Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,6,-1.8607,28,0.61085,21,0.03603,22,0.29772
ENSG00000188976,NOC2L,27,-0.7562,53,0.36948,18,-1.2821,49,0.45052
ENSG00000188290,HES4,19,-1.6854,46,-0.3304,95,0.87334,64,0.50702
ENSG00000187608,ISG15,34,-0.4961,33,-0.5543,68,0.65186,50,0.30190
ENSG00000188157,AGRN,39,0.94769,28,0.29300,16,-0.5997,18,-0.7045
ENSG00000078808,SDF4,55,-0.1972,47,-0.4349,86,0.54725,64,0.13756
ENSG00000176022,B3GALT6,12,-0.8968,24,0.23770,11,-0.9483,25,0.54510
ENSG00000160087,UBE2J2,19,-1.0089,32,-0.1791,33,-0.1176,42,0.64335
ENSG00000131584,ACAP3,131,0.76718,107,0.38968,69,-0.3466,68,-0.6862
ENSG00000127054,INTS11,49,0.19676,33,-0.4909,25,-0.8739,49,0.37463
ENSG00000224051,CPTP,9,-1.1893,15,-0.4792,18,-0.1289,25,0.89078
ENSG00000107404,DVL1,42,-0.5619,67,0.23561,53,-0.1810,63,0.20689
ENSG00000175756,AURKAIP1,94,-1.6985,173,-0.7463,280,0.06683,357,1.12926
ENSG00000221978,CCNL2,69,0.48700,32,-0.8116,43,-0.3142,56,0.17717
ENSG00000242485,MRPL20,101,-1.1818,124,-0.8481,180,-0.2108,273,1.10939
ENSG00000235098,ANKRD65,44,0.52773,14,-1.3977,32,-0.0296,35,0.26419
ENSG00000179403,VWA1,115,2.73978,7,-2.5646,36,0.06807,17,-1.6875
ENSG00000197785,ATAD3A,14,-0.6179,19,-0.1064,8,-1.3069,24,0.71688
ENSG00000205090,TMEM240,7,-1.9787,33,0.49298,6,-2.1650,32,0.86829
ENSG00000160075,SSU72,93,-0.9340,133,-0.3436,147,-0.1488,197,0.71997
ENSG00000228594,FNDC10,10,-1.7395,40,0.52962,30,0.01361,33,0.34020
ENSG00000272106,AL691432.2,10,-0.7909,7,-1.4341,21,0.36884,21,0.93080
ENSG00000197530,MIB2,36,-0.2986,40,-0.1256,41,-0.0741,47,0.26805
ENSG00000248333,CDK11B,91,0.94937,77,0.61265,36,-0.6372,39,-0.9344
ENSG00000189339,SLC35E2B,16,0.24502,12,-0.2453,10,-0.4831,15,0.12535
ENSG00000008128,CDK11A,98,2.37963,24,-0.5030,16,-1.1001,17,-1.5998
ENSG00000215790,SLC35E2A,7,-1.5513,18,-0.1623,27,0.50569,23,0.56401
ENSG00000008130,NADK,14,-0.2932,15,-0.1805,14,-0.3471,19,0.38032
ENSG00000078369,GNB1,168,-1.5504,444,0.03747,513,0.26441,507,0.54538
ENSG00000187730,GABRD,16,-3.1250,135,0.21070,56,-1.1519,160,1.15391
ENSG00000067606,PRKCZ,92,-1.2307,244,0.40631,100,-1.0208,228,0.56095
ENSG00000162585,FAAP20,42,-0.4243,43,-0.3942,83,0.70682,56,0.16117
ENSG00000157933,SKI,47,1.54233,21,-0.0061,30,0.55272,11,-1.4994
ENSG00000157916,RER1,57,-0.0928,24,-1.4544,53,-0.1883,74,0.77092
ENSG00000157911,PEX10,30,0.02187,20,-0.7194,51,0.84570,30,-0.0046
ENSG00000149527,PLCH2,15,0.03867,17,0.28077,3,-2.2869,16,0.21153
ENSG00000157870,PRXL2B,11,-2.2609,59,0.33207,50,0.03830,57,0.59197
ENSG00000177133,PRDM16-DT,5,-2.1435,25,0.42069,24,0.35643,22,0.37839
ENSG00000158109,TPRG1L,42,-2.0986,154,-0.0421,111,-0.5530,205,1.02421
ENSG00000130764,LRRC47,34,-0.7721,51,-0.1099,31,-0.8820,66,0.71088
ENSG00000116198,CEP104,87,1.74638,43,0.27095,41,0.17678,17,-1.7729
ENSG00000196581,AJAP1,24,-0.3142,45,0.80685,12,-1.3519,29,-0.0853
ENSG00000069424,KCNAB2,34,-2.8298,222,0.13080,133,-0.6735,270,1.06393
ENSG00000116254,CHD5,38,-2.5293,475,1.94753,67,-1.5555,160,-0.4450
ENSG00000116251,RPL22,806,0.11657,511,-0.6631,1239,0.81045,738,-0.0689
ENSG00000116237,ICMT,14,-0.6781,24,0.26054,13,-0.6572,23,0.37131
ENSG00000097021,ACOT7,57,-2.2009,142,-0.7845,123,-0.9467,329,1.65113
ENSG00000171680,PLEKHG5,1,-4.2733,22,-0.1567,9,-1.4583,35,1.62518
ENSG00000162408,NOL9,9,-1.0363,35,1.29365,16,-0.1573,15,-0.4520
ENSG00000162413,KLHL21,29,0.85124,15,-0.3620,10,-0.9250,17,-0.1684
ENSG00000041988,THAP3,12,-0.7623,22,0.23357,17,-0.1516,21,0.28847
ENSG00000007923,DNAJC11,14,-0.8446,27,0.16247,19,-0.3761,28,0.43817
ENSG00000171735,CAMTA1,193,-0.0273,398,1.39546,129,-0.6493,141,-0.8955
ENSG00000049245,VAMP3,98,2.38199,11,-1.6888,45,0.50320,16,-1.6638
ENSG00000049246,PER3,56,1.81076,16,-0.5473,25,0.11605,14,-1.2707
ENSG00000116288,PARK7,174,-1.5287,199,-1.3172,525,0.27291,600,1.23709
ENSG00000162426,SLC45A1,9,-1.6090,16,-0.7584,15,-0.7866,36,1.40940
ENSG00000142599,RERE,195,1.04252,158,0.61878,121,0.11126,69,-1.2581
ENSG00000074800,ENO1,277,-1.4915,459,-0.6862,915,0.45927,864,0.85467
ENSG00000171612,SLC25A33,18,-0.5310,15,-0.7846,66,1.67181,23,-0.2005
ENSG00000171603,CLSTN1,197,-1.4103,433,-0.1242,295,-0.7095,594,0.93108
ENSG00000178585,CTNNBIP1,25,-0.7268,38,-0.0259,36,-0.0794,43,0.41882
ENSG00000162441,LZIC,106,1.33893,65,0.35246,48,-0.1632,33,-1.2383
ENSG00000130939,UBE4B,38,0.49386,28,-0.0542,16,-0.8542,28,-0.0726
ENSG00000054523,KIF1B,474,0.89187,467,0.86292,131,-1.2496,205,-0.9702
ENSG00000142657,PGD,42,-0.2484,45,-0.1205,22,-1.1732,56,0.50628
ENSG00000175279,CENPS,10,-0.6479,14,-0.1251,6,-1.4004,18,0.75882
ENSG00000241563,CORT,22,-2.1445,36,-1.4408,201,1.41455,106,0.73273
ENSG00000160049,DFFA,118,1.36928,77,0.49667,57,-0.0547,33,-1.4257
ENSG00000142655,PEX14,4,-2.1483,16,-0.0670,25,0.60906,20,0.59792
ENSG00000120948,TARDBP,85,0.65326,71,0.32226,49,-0.3168,49,-0.5567
ENSG00000116649,SRM,32,-1.5859,65,-0.4571,120,0.54836,104,0.72083
ENSG00000171824,EXOSC10,46,0.44832,33,-0.1632,58,0.77836,30,-0.5214
ENSG00000198793,MTOR,23,-0.7024,33,-0.1306,40,0.16479,40,0.38418
ENSG00000116661,FBXO2,77,-2.1174,221,-0.4605,504,0.90954,348,0.65617
